Unnamed: 0	Freq	log freq	Vin	Vout	H	db
	10.16	1.0068937079479006	1.86	18.8	10.10752688172043	20.09289810091527
	100.78	2.00337435401975	2.3	23.0	10.0	20.0
	1000.0	3.0	2.3	21.8	9.478260869565219	19.53457315174024
	2500.0	3.3979400086720375	2.6	21.6	8.307692307692308	18.38960806360226
	3300.0	3.5185139398778875	2.66	21.6	8.1203007518797	18.19144229039728
	10280.0	4.011993114659257	2.88	21.6	7.500000000000001	17.501225267834002
	33500.0	4.525044807036846	2.92	21.8	7.465753424657534	17.46147284312373
	75000.0	4.8750612633917	2.96	22.0	7.4324324324324325	17.422619395265354
	102000.0	5.008600171761918	2.96	22.0	7.4324324324324325	17.422619395265354
	195000.0	5.290034611362518	3.04	22.2	7.302631578947368	17.269587816837696
	246000.0	5.390935107103379	3.06	22.2	7.254901960784314	17.212630959381173
	293000.0	5.466867620354109	3.06	22.0	7.189542483660131	17.134025086812525
	305000.0	5.484299839346786	3.12	22.0	7.051282051282051	16.96536173607527
	317000.0	5.501059262217751	3.16	22.0	6.962025316455696	16.85471196407605
	334000.0	5.523746466811565	3.2	22.0	6.875	16.745454050046003
	370000.0	5.568201724066995	3.22	22.2	6.894409937888198	16.769942055096156
